75401,Greenville,Hunt County,"19,146"
75402,Greenville,Hunt County,"18,087"
75402,Greenville,Hunt County,"18,087"
75407,Princeton,Collin County,"17,978"
75407,Princeton,Collin County,"17,978"
75409,Anna,Collin County,"16,349"
75409,Anna,Collin County,"16,349"
75410,Alba,Wood County,"4,954"
75410,Alba,Wood County,"4,954"
75411,Arthur City,Lamar County,889
75411,Arthur City,Lamar County,889
75412,Bagwell,Red River County,457
75412,Bagwell,Red River County,457
75413,Bailey,Fannin County,282
75413,Bailey,Fannin County,282
75414,Bells,Grayson County,"3,416"
75414,Bells,Grayson County,"3,416"
75415,Ben Franklin,Delta County,240
75415,Ben Franklin,Delta County,240
75416,Blossom,Lamar County,"3,070"
75416,Blossom,Lamar County,"3,070"
75417,Bogata,Red River County,"2,688"
75417,Bogata,Red River County,"2,688"
75418,Bonham,Fannin County,"14,571"
75418,Bonham,Fannin County,"14,571"
75420,Brashear,Hopkins County,"1,052"
75420,Brashear,Hopkins County,"1,052"
75421,Brookston,Lamar County,666
75421,Brookston,Lamar County,666
75422,Campbell,Hunt County,"3,088"
75422,Campbell,Hunt County,"3,088"
75423,Celeste,Hunt County,"3,110"
75423,Celeste,Hunt County,"3,110"
75424,Blue Ridge,Collin County,"3,024"
75424,Blue Ridge,Collin County,"3,024"
75426,Clarksville,Red River County,"4,393"
75426,Clarksville,Red River County,"4,393"
75428,Commerce,Hunt County,"11,371"
75428,Commerce,Hunt County,"11,371"
75431,Como,Hopkins County,"2,122"
75431,Como,Hopkins County,"2,122"
75432,Cooper,Delta County,"3,504"
75432,Cooper,Delta County,"3,504"
75433,Cumby,Hopkins County,"2,808"
75433,Cumby,Hopkins County,"2,808"
75435,Deport,Lamar County,944
75435,Deport,Lamar County,944
75436,Detroit,Red River County,"2,480"
75436,Detroit,Red River County,"2,480"
75437,Dike,Hopkins County,"1,377"
75437,Dike,Hopkins County,"1,377"
75438,Dodd City,Fannin County,992
75438,Dodd City,Fannin County,992
75439,Ector,Fannin County,"1,035"
75439,Ector,Fannin County,"1,035"
75440,Emory,Rains County,"6,258"
75440,Emory,Rains County,"6,258"
75441,Enloe,Delta County,128
75441,Enloe,Delta County,128
75442,Farmersville,Collin County,"9,308"
75442,Farmersville,Collin County,"9,308"
75446,Honey Grove,Fannin County,"3,178"
75446,Honey Grove,Fannin County,"3,178"
75447,Ivanhoe,Fannin County,"1,256"
75447,Ivanhoe,Fannin County,"1,256"
75448,Klondike,Delta County,643
75448,Klondike,Delta County,643
75449,Ladonia,Fannin County,"1,374"
75449,Ladonia,Fannin County,"1,374"
75450,Lake Creek,Delta County,150
75450,Lake Creek,Delta County,150
75451,Leesburg,Camp County,"1,163"
75451,Leesburg,Camp County,"1,163"
75452,Leonard,Fannin County,"4,650"
75452,Leonard,Fannin County,"4,650"
75453,Lone Oak,Hunt County,"3,046"
75453,Lone Oak,Hunt County,"3,046"
75454,Melissa,Collin County,"10,467"
75454,Melissa,Collin County,"10,467"
75455,Mount Pleasant,Titus County,"28,354"
75455,Mount Pleasant,Titus County,"28,354"
75457,Mount Vernon,Franklin County,"6,501"
75457,Mount Vernon,Franklin County,"6,501"
75459,Howe,Grayson County,"5,156"
75459,Howe,Grayson County,"5,156"
75460,Paris,Lamar County,"23,504"
75460,Paris,Lamar County,"23,504"
75462,Paris,Lamar County,"11,641"
75462,Paris,Lamar County,"11,641"
75468,Pattonville,Lamar County,939
75468,Pattonville,Lamar County,939
75469,Pecan Gap,Delta County,275
75469,Pecan Gap,Delta County,275
75470,Petty,Lamar County,323
75470,Petty,Lamar County,323
75471,Pickton,Hopkins County,"1,531"
75471,Pickton,Hopkins County,"1,531"
75472,Point,Rains County,"4,087"
75472,Point,Rains County,"4,087"
75473,Powderly,Lamar County,"3,688"
75473,Powderly,Lamar County,"3,688"
75474,Quinlan,Hunt County,"15,017"
75474,Quinlan,Hunt County,"15,017"
